Altitude [m],Time [s]
2075.85,45.225
2076.33,45.309
2077.07,45.39
2077.22,45.471
2077.5,45.552
2077.5,45.633
2077.97,45.714
2078.22,45.795
2078.67,45.876
2078.93,45.96
2079.4,46.041
2079.4,46.121
2079.63,46.202
2080.42,46.283
2080.52,46.364
2081.14,46.445
2081.61,46.527
2081.61,46.61
2082.04,46.691
2082.07,46.772
2082.83,46.853
2083.03,46.935
2083.58,47.015
2083.58,47.096
2083.83,47.177
2084.39,47.261
2084.96,47.342
2085.43,47.423
2085.78,47.504
2086.49,47.585
2086.49,47.666
2086.73,47.747
2087.16,47.828
2087.47,47.911
2087.99,47.992
2088.45,48.073
2088.45,48.155
2089.05,48.236
2089.53,48.317
2089.7,48.398
2090.05,48.479
2090.7,48.563
2090.7,48.644
2091.16,48.724
2091.65,48.805
2092.1,48.886
2092.14,48.967
2092.81,49.048
2092.81,49.129
2093.3,49.213
2093.32,49.294
2094.07,49.375
2094.37,49.456
2094.77,49.537
2094.77,49.617
2095.13,49.698
2095.56,49.779
2096.05,49.86
2096.64,49.951
2096.87,50.033
2097.3,50.114
2097.3,50.195
2097.71,50.276
2098.26,50.357
2098.53,50.438
2099,50.52
2099.39,50.603
2099.39,50.692
2099.85,50.772
2100.46,50.854
2100.81,50.935
2101.13,51.016
2101.38,51.097
2101.38,51.178
2102.11,51.261
2102.58,51.342
2102.76,51.423
2103.44,51.505
2103.48,51.586
2103.98,51.666
2104.02,51.747
2104.4,51.828
2105.27,51.911
2105.65,51.992
2106.29,52.074
2106.67,52.155
2106.67,52.236
2107.03,52.317
2107.64,52.398
2108.04,52.478
2108.1,52.562
2108.85,52.643
2108.85,52.724
2108.86,52.805
2109.47,52.886
2109.6,52.967
2109.84,53.048
2110.37,53.129
2110.37,53.21
2110.59,53.294
2111.13,53.374
2111.77,53.455
2111.86,53.536
2112.42,53.617
2112.42,53.699
2113.06,53.78
2113.37,53.861
2113.92,53.944
2114.14,54.025
2114.31,54.106
2114.31,54.188
2114.68,54.268
2115.26,54.349
2115.69,54.43
2116.05,54.511
2116.37,54.594
2116.37,54.675
2116.68,54.757
2116.96,54.838
2117.49,54.919
2118.15,55
2117.99,55.08
2117.99,55.161
2118.52,55.244
2118.75,55.326
2119.42,55.407
2119.49,55.488
2119.96,55.569
2119.96,55.65
2120.37,55.731
2120.39,55.812
2120.82,55.896
2120.84,55.976
2121.18,56.057
2121.62,56.138
2121.53,56.219
2122.26,56.3
2122.34,56.381
2122.68,56.462
2123.2,56.544
2123.39,56.627
2123.39,56.708
2123.67,56.788
2124.04,56.869
2124.52,56.95
2124.81,57.032
2125.33,57.113
2125.33,57.194
2125.55,57.277
2125.94,57.358
2126.13,57.439
2126.52,57.52
2127.2,57.602
2127.2,57.682
2127.56,57.763
2127.8,57.844
2128.35,57.927
2129.19,58.009
2128.9,58.09
2128.9,58.171
2129.05,58.252
2128.4,58.333
2128.35,58.414
2128.37,58.494
2128.43,58.577
2128.43,58.658
2127.59,58.74
2127.75,58.821
2127.25,58.902
2127.01,58.983
2126.58,59.064
2126.58,59.145
2126.2,59.226
2126.11,59.309
2125.39,59.389
2121.17,59.471
2120.55,59.552
2120.55,59.633
2122.37,59.714
2123.62,59.795
2122.15,59.876
2120.52,59.96
2118.98,60.041
2118.98,60.122
2117.06,60.203
2115.55,60.283
2114.84,60.365
2114.48,60.446
2114.09,60.527
2113.74,60.61
2113.74,60.692
2113.41,60.773
2113.15,60.854
2112.87,60.935
2112.42,61.016
2111.87,61.096
2111.87,61.177
2111.63,61.261
2111.04,61.342
2110.73,61.423
2110.64,61.504
2110.47,61.585
2110.47,61.666
2110.38,61.747
2109.9,61.829
2109.55,61.912
2109.29,61.992
2108.87,62.073
2108.87,62.154
2108.44,62.236
2108.4,62.317
2108.23,62.398
2107.95,62.479
2107.56,62.56
2107.56,62.644
2107.46,62.725
2107.03,62.806
2107.05,62.886
2106.99,62.967
2106.74,63.048
2106.74,63.129
2106.23,63.211
2105.97,63.294
2105.75,63.375
2105.53,63.456
2105.41,63.538
2105.41,63.619
2104.9,63.699
2104.68,63.78
2104.56,63.861
2104.47,63.945
2104.08,64.026
2104.08,64.107
2103.73,64.188
2103.73,64.269
2103.38,64.35
2103.32,64.431
2102.78,64.512
2102.69,64.595
2102.83,64.676
2102.14,64.757
2101.65,64.838
2101.42,64.919
2101.26,65
2100.75,65.081
2100.66,65.163
2100.68,65.246
2100.36,65.327
2099.8,65.408
2099.34,65.488
2099.34,65.57
2099.34,65.651
2099.24,65.732
2099.14,65.813
2098.82,65.894
2098.46,65.978
2098.4,66.059
2098.4,66.14
2098.18,66.221
2097.91,66.301
2097.9,66.382
2097.25,66.464
2097.33,66.545
2097.33,66.628
2096.99,66.709
2096.81,66.79
2096.51,66.871
2096.16,66.953
2096.29,67.034
2096.29,67.115
2095.61,67.195
2095.31,67.278
2094.75,67.359
2094.52,67.441
2094.34,67.522
2094.34,67.603
2094.14,67.684
2093.88,67.765
2093.53,67.846
2093.38,67.93
2093.07,68.011
2093.07,68.091
2092.58,68.172
2092.74,68.253
2092.24,68.334
2091.87,68.415
2091.52,68.496
2091.52,68.577
2091.47,68.661
2091.12,68.742
2090.58,68.823
2090.54,68.903
2089.94,68.984
2089.94,69.065
2089.77,69.146
2089.63,69.228
2089.24,69.311
2088.63,69.392
2088.64,69.473
2088.23,69.554
2088.23,69.636
2088.07,69.716
2087.81,69.797
2087.56,69.878
2087.29,69.961
2087.13,70.045
2087.13,70.126
2086.95,70.207
2086.46,70.288
2085.94,70.369
2085.82,70.45
2085.31,70.531
2085.31,70.615
2085.35,70.695
2085.04,70.776
2084.55,70.857
2084.4,70.938
2084.43,71.019
2084.43,71.1
2083.97,71.181
2083.94,71.263
2083.77,71.357
2083.6,71.438
2083.31,71.519
2082.94,71.6
2082.94,71.682
2082.39,71.762
2082.19,71.843
2081.89,71.924
2081.59,72.008
2081.41,72.089
2081.41,72.17
2081.11,72.252
2080.46,72.333
2080.16,72.414
2080.04,72.495
2079.9,72.576
2079.9,72.659
2079.52,72.74
2079.19,72.821
2078.73,72.902
2078.31,72.984
2077.83,73.065
2077.83,73.146
2077.76,73.227
2077.13,73.311
2077.03,73.392
2076.53,73.473
2076.42,73.553
2075.81,73.634
2075.94,73.716
2075.55,73.797
2075.35,73.878
2075.28,73.961
2075.07,74.043
2074.7,74.124
2074.7,74.205
2074.35,74.286
2073.88,74.366
2073.88,74.448
2073.22,74.529
2073.12,74.613
2073.12,74.694
2072.41,74.775
2072.19,74.856
2071.73,74.937
2071.65,75.018
2071.57,75.099
2071.57,75.18
2071.35,75.261
2070.75,75.344
2070.37,75.425
2070.12,75.507
2069.92,75.588
2069.92,75.669
2069.51,75.75
2069.22,75.831
2069.23,75.912
2068.7,75.996
2068.67,76.077
2068.67,76.158
2068.4,76.239
2068.32,76.32
2067.82,76.401
2067.85,76.482
2067.53,76.563
2067.53,76.647
2067.38,76.728
2066.96,76.809
2066.51,76.891
2066.31,76.972
2065.69,77.052
2065.6,77.133
2065.67,77.214
2065.51,77.298
2065.35,77.379
2064.88,77.46
2064.82,77.541
2064.48,77.622
2064.48,77.704
2064.19,77.785
2063.64,77.865
2063.39,77.948
2062.63,78.03
2062.51,78.111
2062.51,78.192
2061.97,78.273
2062.25,78.354
2061.76,78.435
2061.44,78.516
2061.37,78.598
2061.37,78.681
2061.14,78.761
2060.96,78.843
2060.33,78.924
2060.2,79.005
2059.67,79.086
2059.67,79.167
2059.37,79.248
2059.1,79.332
2058.7,79.413
2058.58,79.494
2058.56,79.575
2058.56,79.655
2058.15,79.737
2057.85,79.818
2057.8,79.899
2057.74,79.982
2057.01,80.063
2057.01,80.145
2056.69,80.226
2056.02,80.307
2055.51,80.388
2055.16,80.468
2054.88,80.549
2054.25,80.633
2054.25,80.714
2054.02,80.795
2053.93,80.876
2053.46,80.957
2053.09,81.038
2052.88,81.12
2052.88,81.201
2052.13,81.282
2051.85,81.366
2051.49,81.446
2051.47,81.527
2051.12,81.608
2051.12,81.689
2050.9,81.77
2050.59,81.851
2050.17,81.933
2050.02,82.016
2049.82,82.097
2049.82,82.178
2049.57,82.259
2049.27,82.34
2049.28,82.421
2048.78,82.502
2048.67,82.583
2048.67,82.667
2048.22,82.748
2048.02,82.829
2047.77,82.91
2047.42,82.991
2047.47,83.072
2047.47,83.152
2047.15,83.233
2046.91,83.317
2046.7,83.398
2046.4,83.479
2045.62,83.56
2045.62,83.642
2045.32,83.723
2045.12,83.804
2044.46,83.885
2044.21,83.965
2043.79,84.049
2043.79,84.13
2043.26,84.211
2043.05,84.292
2042.43,84.373
2042.27,84.454
