Altitude [m],Time [s]
2036.59,25.416
2036.64,25.498
2036.64,25.579
2036.75,25.66
2036.73,25.742
2036.84,25.825
2036.7,25.907
2036.72,25.988
2036.72,26.068
2036.65,26.15
2036.84,26.231
2036.76,26.312
2036.68,26.394
2036.64,26.485
2036.71,26.566
2036.71,26.647
2036.47,26.729
2036.61,26.81
2036.75,26.891
2036.6,26.973
2036.6,27.054
2036.5,27.138
2036.5,27.218
2036.4,27.299
2036.43,27.381
2036.6,27.462
2036.73,27.543
2036.66,27.625
2036.66,27.706
2036.68,27.798
2036.41,27.88
2036.68,27.961
2036.49,28.042
2036.37,28.123
2036.35,28.205
2036.35,28.285
2036.65,28.366
2036.46,28.45
2036.6,28.532
2036.69,28.613
2036.64,28.694
2036.64,28.776
2036.84,28.857
2036.64,28.938
2036.66,29.027
2036.57,29.111
2036.55,29.192
2036.56,29.273
2036.56,29.355
2036.41,29.435
2036.36,29.516
2036.33,29.598
2036.01,29.679
2035.69,29.763
2035.69,29.844
2035.33,29.925
2035.54,30.007
2034.98,30.088
2035.03,30.169
2034.99,30.258
2035.62,30.342
2035.62,30.423
2035.3,30.503
2035.62,30.585
2035.69,30.666
2035.63,30.747
2035.7,30.828
2035.74,30.918
2035.74,31.002
2035.77,31.083
2035.3,31.164
2035.14,31.246
2034.82,31.327
2035.12,31.408
2034.83,31.496
2034.83,31.577
2034.72,31.661
2034.57,31.741
2034.45,31.822
2034.15,31.903
2034.25,31.985
2034.25,32.066
2033.52,32.147
2033.63,32.229
2033.42,32.312
2033.1,32.394
2033.01,32.475
2033.12,32.556
2033.02,32.636
2032.68,32.726
2032.79,32.806
2032.47,32.887
2032.62,32.971
2032.33,33.052
2032.33,33.134
2032.02,33.215
2032.53,33.296
2032.76,33.378
2033.53,33.459
2034.39,33.54
2034.76,33.624
2034.76,33.704
2035.05,33.785
2035.37,33.867
2035.88,33.955
2036.36,34.036
2036.74,34.118
2036.74,34.199
2037.03,34.283
2036.87,34.364
2037.3,34.445
2037.5,34.526
2037.61,34.608
2037.8,34.689
2037.8,34.769
2038.18,34.851
2038.04,34.934
2038.07,35.016
2038.12,35.097
2038.21,35.185
2038.4,35.267
2038.53,35.348
2038.54,35.429
2038.64,35.51
2038.81,35.594
2038.9,35.675
2039.09,35.757
2039.09,35.837
2039.3,35.918
2039.57,35.999
2040.03,36.081
2040.37,36.162
2040.65,36.246
2040.65,36.327
2040.72,36.417
2041.07,36.498
2041.48,36.579
2041.85,36.66
2042.38,36.742
2042.7,36.823
2042.7,36.907
2043.03,36.987
2043.97,37.068
2043.53,37.149
2044.39,37.231
2045.03,37.312
2045.03,37.393
2045.43,37.474
2045.74,37.558
2046.28,37.647
2046.69,37.728
2047.41,37.809
2047.64,37.89
2047.64,37.971
2048.1,38.052
2048.5,38.133
2049.02,38.217
2049.57,38.298
2050.31,38.379
2050.7,38.461
2050.67,38.542
2051.06,38.623
2051.59,38.704
2052.26,38.786
2053.12,38.877
2053.4,38.958
2053.4,39.038
2053.88,39.119
2054.73,39.201
2055.21,39.282
2055.73,39.363
2056.18,39.444
2056.85,39.528
2056.85,39.609
2057.18,39.691
2057.8,39.772
2058.28,39.853
2058.65,39.934
2059.28,40.015
2059.28,40.103
2059.83,40.187
2060.4,40.268
2060.91,40.35
2061.25,40.431
2062.08,40.512
2062.71,40.593
2062.71,40.674
2063.43,40.756
2063.72,40.839
2064.63,40.921
2065.23,41.001
2065.43,41.082
2065.43,41.163
2066.1,41.245
2066.63,41.333
2067.05,41.414
2067.49,41.496
2068.11,41.574
2068.87,41.656
2068.87,41.737
2069.27,41.818
2069.69,41.9
2070.54,41.98
2070.95,42.061
2071.47,42.145
2071.47,42.226
2072.05,42.307
2072.49,42.389
2073.21,42.47
2073.76,42.551
2074.44,42.64
2074.82,42.721
2074.82,42.812
2075.43,42.894
2075.96,42.975
2076.67,43.056
2077.32,43.138
2077.87,43.218
2078.41,43.299
2078.47,43.38
2078.8,43.462
2079.73,43.541
2080.21,43.622
2080.83,43.703
2081.77,43.792
2081.77,43.873
2082.35,43.955
2082.68,44.036
2083.3,44.12
2083.92,44.2
2084.78,44.281
2084.78,44.363
2085.09,44.444
2085.79,44.525
2086.35,44.607
2087.03,44.688
2087.48,44.772
2087.82,44.853
2087.82,44.934
2088.28,45.023
2089.01,45.104
2089.83,45.186
2090.31,45.266
2090.75,45.347
2091.09,45.431
2091.09,45.512
2091.68,45.593
2092.19,45.674
