Altitude [m],Time [s]
2039.61,0.668
2038.95,0.752
2038.91,0.831
2039.09,0.91
2039.09,0.989
2039.06,1.067
2039.11,1.145
2038.76,1.224
2038.97,1.303
2038.97,1.384
2038.97,1.463
2039.13,1.542
2038.72,1.62
2038.87,1.699
2038.87,1.777
2038.85,1.856
2039.06,1.935
2039.21,2.016
2039.09,2.095
2039.08,2.173
2039.08,2.252
2039.12,2.331
2039.6,2.409
2039.41,2.488
2039.79,2.567
2039.79,2.648
2039.45,2.726
2039.23,2.805
2039.42,2.884
2039.39,2.963
2039.55,3.041
2039.55,3.12
2039.7,3.198
2039.65,3.277
2039.65,3.358
2040.01,3.437
2040.01,3.516
2039.82,3.595
2039.89,3.674
2039.76,3.752
2039.71,3.83
2039.82,3.909
2039.82,3.991
2040.09,4.069
2039.95,4.148
2039.81,4.227
2039.53,4.305
2039.53,4.384
2040.01,4.463
2039.71,4.542
2040.02,4.623
2040.07,4.702
2039.57,4.781
2039.57,4.858
2039.71,4.937
2039.82,5.016
2039.83,5.095
2039.8,5.173
2039.8,5.255
2039.87,5.334
2039.64,5.411
2039.84,5.49
2039.77,5.569
2039.74,5.648
2039.74,5.727
2039.81,5.805
2039.62,5.883
2039.8,5.964
2039.71,6.043
2039.71,6.122
2039.53,6.201
2039.59,6.28
2039.85,6.358
2039.81,6.436
2039.81,6.515
2039.8,6.596
2039.94,6.675
2039.85,6.754
2039.7,6.833
2039.79,6.91
2039.79,6.989
2040.01,7.068
2039.79,7.147
2039.8,7.225
2039.63,7.307
2039.63,7.385
2039.28,7.463
2039.53,7.542
2039.69,7.621
2039.48,7.7
2039.73,7.778
2039.73,7.857
2039.6,7.938
2039.53,8.016
2039.71,8.095
2039.45,8.174
2039.45,8.253
2039.61,8.331
2039.47,8.41
2039.65,8.488
2039.56,8.569
2039.65,8.648
2039.65,8.727
2039.49,8.806
2039.59,8.885
2039.62,8.963
2039.67,9.041
2039.67,9.12
2039.66,9.199
2039.59,9.28
2039.5,9.359
2039.75,9.438
2039.58,9.516
2039.58,9.594
2039.45,9.673
2039.72,9.752
2039.62,9.831
2039.63,9.912
2039.63,9.991
2039.7,10.068
2039.85,10.147
2039.62,10.226
2039.57,10.305
2039.57,10.384
2039.67,10.462
2039.83,10.541
2039.67,10.622
2039.72,10.7
2039.53,10.779
2039.53,10.858
2039.62,10.937
2039.57,11.016
2039.6,11.095
2039.43,11.172
2039.43,11.254
2039.36,11.333
2039.46,11.411
2039.55,11.49
2039.52,11.569
2039.64,11.648
2039.64,11.726
2039.75,11.805
2039.93,11.886
2039.58,11.965
2039.66,12.044
2039.66,12.122
2039.83,12.2
2039.52,12.279
2039.59,12.358
2039.83,12.436
2039.39,12.515
2039.39,12.597
2039.53,12.675
2039.57,12.753
2039.47,12.832
2039.24,12.911
2039.24,12.99
2039.84,13.069
2039.2,13.147
2039.56,13.229
2039.61,13.307
2039.68,13.385
2039.68,13.464
2039.63,13.543
2039.79,13.622
2039.63,13.701
2039.52,13.779
2039.52,13.86
2039.69,13.939
2039.53,14.018
2039.51,14.096
2039.72,14.175
2039.8,14.254
2039.8,14.332
2039.62,14.411
2039.66,14.492
2039.52,14.571
2039.57,14.649
2039.57,14.728
2039.51,14.807
2039.81,14.885
2039.9,14.964
2039.63,15.043
2039.63,15.121
2039.52,15.203
2039.38,15.282
2039.51,15.36
2039.65,15.438
2039.71,15.517
2039.71,15.596
2039.63,15.675
2039.85,15.753
2039.58,15.835
2039.63,15.912
2039.63,15.991
2039.44,16.07
2039.43,16.149
2039.5,16.228
2039.43,16.307
2039.6,16.385
2039.6,16.466
2039.75,16.545
2039.77,16.623
2039.91,16.702
2039.92,16.781
2039.92,16.86
2039.49,16.939
2039.91,17.017
2039.8,17.095
2039.76,17.177
2039.71,17.256
2039.71,17.334
2039.63,17.413
2039.8,17.491
2039.91,17.57
2039.52,17.649
2039.52,17.728
2039.93,17.809
2039.37,17.888
2039.52,17.967
2039.47,18.045
2039.43,18.124
2039.43,18.203
2039.1,18.282
2039.31,18.36
2039.28,18.442
2039.12,18.521
2039.12,18.599
2038.94,18.677
2039.03,18.756
2039,18.835
2039.06,18.914
2038.8,18.993
2038.8,19.074
2038.9,19.152
2038.71,19.231
2038.48,19.31
2038.48,19.389
2038.48,19.468
2038.27,19.546
2038.38,19.624
2038.43,19.706
2038.34,19.785
2038.23,19.863
2038.23,19.942
2038.34,20.021
2038.36,20.1
2038.28,20.178
2038.08,20.257
2038.08,20.338
2038.28,20.417
2038.26,20.496
2038.4,20.575
2038.39,20.654
2038.49,20.732
2038.49,20.811
2038.18,20.89
2038.29,20.971
2038.23,21.05
2038.32,21.129
2038.32,21.208
2038.62,21.286
2038.45,21.365
2038.69,21.444
2038.57,21.523
2038.36,21.612
2038.36,21.693
2038.3,21.775
2038.41,21.856
2038.5,21.937
2038.66,22.019
2038.61,22.099
2038.68,22.18
2038.68,22.264
2038.45,22.345
2038.38,22.427
2038.74,22.508
2038.56,22.589
2038.39,22.671
2038.39,22.752
2038.62,22.833
2038.65,22.917
2038.42,22.998
2038.32,23.079
2038.38,23.16
2038.38,23.241
2038.37,23.323
2038.07,23.404
2038.37,23.485
2038.23,23.569
2038.12,23.65
2038.39,23.732
2038.39,23.813
2038.6,23.894
2038.4,23.975
2038.38,24.056
2038.36,24.14
2038.25,24.221
2038.25,24.302
2038.35,24.384
2038.51,24.465
2038.38,24.546
2038.42,24.627
2038.4,24.709
2038.31,24.793
2038.35,24.873
2038.19,24.954
2038.37,25.035
2038.53,25.117
2038.28,25.198
2038.58,25.279
2038.58,25.361
2038.35,25.444
2038.3,25.526
2038.37,25.607
2038.33,25.688
2038.5,25.769
2038.5,25.85
2038.47,25.931
2038.55,26.012
2038.66,26.113
2038.58,26.193
2038.74,26.274
2038.83,26.356
2038.67,26.437
2038.67,26.518
2038.41,26.599
2038.52,26.681
2038.46,26.765
2038.83,26.846
2038.59,26.927
2038.59,27.009
2038.49,27.089
2038.38,27.17
2038.3,27.252
2038.49,27.34
2038.63,27.424
2038.35,27.505
2038.35,27.586
2038.46,27.668
2038.25,27.749
2038.3,27.83
2038.39,27.912
2038.48,27.993
2038.48,28.077
2038.15,28.157
2038.44,28.238
2038.53,28.32
2038.52,28.401
2038.71,28.482
2038.71,28.571
2038.71,28.652
2038.36,28.736
2038.59,28.817
2038.73,28.899
2038.43,28.98
2038.47,29.061
2038.47,29.143
2038.42,29.223
2038.37,29.307
2038.19,29.388
2038.47,29.469
2038.07,29.551
2038.17,29.632
2038.17,29.713
2038.19,29.802
2038.17,29.883
2038.23,29.967
2038.19,30.048
2038.01,30.13
2038.28,30.211
2038.28,30.291
2038.32,30.373
2038.25,30.454
2038.29,30.535
2038.2,30.619
2038.43,30.7
2038.43,30.782
2038.61,30.863
2038.22,30.944
2038.57,31.033
2038.2,31.114
2038.52,31.195
2038.32,31.279
2038.32,31.36
2038.51,31.441
2038.38,31.522
2038.63,31.603
2038.49,31.685
2038.32,31.766
2038.32,31.847
2038.38,31.931
2038.23,32.013
2038.19,32.094
2038.19,32.175
2038.3,32.265
2038.32,32.346
2038.32,32.427
2038.37,32.508
2038.33,32.591
2038.44,32.673
2038.28,32.754
2038.27,32.835
2038.25,32.917
2038.25,32.998
2038.37,33.079
2038.2,33.161
2038.18,33.245
2038.35,33.326
2038.19,33.406
2038.42,33.496
2038.49,33.576
2038.35,33.657
2038.47,33.739
2038.64,33.82
2038.27,33.904
2038.51,33.985
2038.51,34.066
2038.24,34.148
2038.26,34.229
2038.41,34.31
2038.19,34.392
2038.53,34.475
2038.53,34.556
2038.34,34.637
2038.43,34.726
2038.13,34.807
2038.2,34.888
2038.46,34.97
2038.23,35.051
2038.23,35.135
2038.37,35.216
2038.21,35.297
2038.25,35.379
2038.08,35.46
2038.06,35.54
2038.06,35.622
2038.13,35.703
2038.29,35.787
2038.15,35.868
2038.12,35.957
2038.37,36.038
2038.44,36.119
2038.44,36.2
2038.28,36.282
2038.17,36.363
2038.65,36.447
2038.38,36.528
2038.18,36.61
2038.14,36.69
2038.14,36.771
2038.36,36.853
2038.3,36.934
2038.44,37.015
2038.35,37.099
2038.21,37.187
2038.32,37.269
2038.32,37.35
2038.31,37.431
2038.26,37.513
2038.14,37.594
2038.24,37.675
2038.19,37.758
2038.19,37.84
2038.36,37.921
2038.14,38.002
2038.35,38.083
2038.07,38.165
2038.38,38.246
2038.38,38.327
2038.15,38.418
2038.17,38.5
2038.4,38.581
2038.19,38.662
2038.23,38.744
2038.21,38.824
2038.21,38.905
2038.3,38.987
2038.42,39.07
2038.31,39.152
2038.27,39.233
2038.55,39.314
2038.51,39.396
2038.51,39.477
2038.31,39.558
2038.31,39.65
2038.52,39.732
2038.31,39.813
2038.17,39.894
2038.27,39.975
2038.24,40.056
2038.37,40.137
2038.58,40.219
2038.22,40.302
2038.26,40.384
2038.1,40.465
2038.1,40.546
2038.17,40.628
2038.26,40.709
2038.18,40.79
2038.32,40.871
