Altitude [m],Time [s]
2030.16,28.955
2030.11,29.036
2030.28,29.117
2030.32,29.199
2030.32,29.282
2030.05,29.363
2030.24,29.445
2030.1,29.526
2030.24,29.606
2030.04,29.687
2030.04,29.768
2030.21,29.85
2030.44,29.933
2030.41,30.014
2030.48,30.096
2030.44,30.177
2030.28,30.258
2030.28,30.339
2030.1,30.42
2029.98,30.501
2029.97,30.584
2030.23,30.666
2030.02,30.747
2030.02,30.828
2030.2,30.909
2030.3,30.99
2030.55,31.071
2030.53,31.153
2030.28,31.234
2030.28,31.318
2030.38,31.398
2030.27,31.479
2030.15,31.56
2030.14,31.641
2030.46,31.723
2030.46,31.804
2030.28,31.885
2030.35,31.969
2030.13,32.05
2030.2,32.131
2030.46,32.211
2030.18,32.292
2030.18,32.374
2030.16,32.455
2030.1,32.536
2030.33,32.62
2030.05,32.701
2030.37,32.782
2030.37,32.863
2030.32,32.945
2030.16,33.026
2030.18,33.106
2030.35,33.187
2030.02,33.271
2030.02,33.352
2030.25,33.433
2030.23,33.514
2030.24,33.596
2030.15,33.677
2030.25,33.758
2030.25,33.839
2030.26,33.923
2030.38,34.003
2030.58,34.084
2030.48,34.165
2030.42,34.247
2030.43,34.328
2030.43,34.409
2030.34,34.49
2030.85,34.574
2030.24,34.655
2030.57,34.736
2030.36,34.818
2030.36,34.898
2030.52,34.979
2030.48,35.06
2030.34,35.141
2030.54,35.225
2030.54,35.306
2030.54,35.387
2030.4,35.469
2030.14,35.55
2030.35,35.631
2030.14,35.712
2030.24,35.792
2030.18,35.876
2030.18,35.957
2030.07,36.039
2030.39,36.12
2030.37,36.201
2030.11,36.282
2030.32,36.363
2030.32,36.445
2030.11,36.526
2029.93,36.609
2030.04,36.69
2029.83,36.771
2029.98,36.852
2029.98,36.933
2029.84,37.014
2029.65,37.096
2029.38,37.177
2029.38,37.261
2029.11,37.342
2029.11,37.423
2028.94,37.504
2028.59,37.584
2028.57,37.666
2028.2,37.747
2027.77,37.828
2027.77,37.912
2027.77,37.993
2027.4,38.074
2026.83,38.155
2026.51,38.236
2026.49,38.317
2026.02,38.398
2026.02,38.479
2025.78,38.562
2025.58,38.643
2025.39,38.724
2025.35,38.806
2025.31,38.887
2025.31,38.968
2025.35,39.049
2026.1,39.131
2025.87,39.214
2026.65,39.294
2026.68,39.376
2026.68,39.457
2027.08,39.538
2027.56,39.619
2027.58,39.7
2028.34,39.781
2028.6,39.863
2029.26,39.946
2029.26,40.027
2029.67,40.109
2029.81,40.189
2030.29,40.27
2030.33,40.351
2030.6,40.432
2030.6,40.513
2030.9,40.597
2030.86,40.678
2030.79,40.759
2030.97,40.841
2031.27,40.922
2031.27,41.003
2031.48,41.083
2031.47,41.164
2031.8,41.248
2031.75,41.329
2032.53,41.41
2032.53,41.491
2032.56,41.573
2032.63,41.654
2032.89,41.735
2033.2,41.816
2033.63,41.9
2033.93,41.98
2033.93,42.061
2034.3,42.143
2034.79,42.224
2035.62,42.305
2035.84,42.386
2036.17,42.467
2036.17,42.548
2036.85,42.639
2037.17,42.721
2037.76,42.802
2038.21,42.883
2039.03,42.963
2039.56,43.045
2039.56,43.126
2040.13,43.207
2040.68,43.291
2041.43,43.372
2042,43.453
2042.51,43.534
2042.51,43.616
2043.21,43.697
2043.81,43.778
2044.34,43.858
2044.95,43.942
2045.53,44.023
2045.53,44.104
2046.33,44.186
2046.67,44.267
2047.66,44.348
2048.36,44.429
2048.84,44.51
2049.21,44.594
2049.21,44.675
2050.01,44.755
2050.67,44.836
2051.39,44.918
2052.2,44.999
2052.58,45.08
2052.58,45.161
2053.18,45.242
2054.07,45.326
2054.45,45.407
2055.13,45.488
2055.76,45.57
2055.76,45.65
2056.47,45.731
2057.5,45.812
2058.04,45.894
2058.26,45.977
2058.85,46.058
2058.85,46.14
2059.46,46.221
2059.99,46.302
2060.9,46.383
2061.58,46.465
2062.15,46.545
2062.89,46.628
2062.89,46.71
2063.57,46.791
2064.21,46.872
2065.03,46.953
2065.6,47.035
2065.95,47.116
2065.95,47.197
2066.97,47.281
2067.61,47.362
2067.83,47.442
2068.44,47.523
2069.4,47.604
2069.4,47.686
2070.18,47.767
2070.49,47.848
2071.49,47.929
2072.07,48.013
2073.23,48.094
2073.51,48.175
2073.45,48.256
2074.12,48.337
2074.54,48.418
2075.07,48.499
2075.66,48.58
2076.44,48.664
2076.44,48.745
2076.91,48.826
2077.71,48.908
2078.53,48.989
2079.1,49.07
2079.56,49.15
2079.56,49.232
2080.23,49.315
2080.73,49.397
2081.6,49.478
2082.23,49.559
2082.84,49.64
2082.84,49.721
2083.39,49.803
2084.32,49.884
2084.73,49.968
2085.39,50.049
2086.05,50.129
2086.51,50.21
2086.51,50.291
2087.35,50.373
2088.32,50.454
2088.89,50.535
2089.44,50.619
2090.08,50.7
2090.08,50.781
2090.54,50.862
2091.52,50.942
2092.18,51.024
2092.84,51.105
2093.11,51.186
2093.11,51.267
2093.84,51.351
2094.59,51.432
2095.21,51.513
2095.77,51.595
2096.13,51.676
2096.13,51.757
2096.9,51.837
2097.59,51.919
2098.22,52.002
2098.99,52.083
2099.48,52.164
2099.95,52.246
2099.95,52.327
2100.43,52.408
2101.15,52.489
2101.42,52.57
2102.31,52.654
2102.78,52.734
2102.78,52.816
2103.43,52.897
2103.71,52.978
2104.57,53.059
2104.96,53.14
2105.48,53.222
2105.48,53.303
2106.14,53.387
2107.12,53.468
2107.85,53.549
2108.44,53.629
2109.21,53.71
2109.21,53.792
2109.82,53.873
2110.49,53.954
2110.94,54.038
2111.56,54.119
2112.53,54.2
2112.64,54.281
2112.64,54.363
2113.42,54.444
2114.33,54.524
2114.81,54.605
2115.46,54.689
2115.72,54.77
2115.72,54.851
2116.42,54.933
2117.02,55.014
2117.57,55.095
2117.83,55.176
2118.75,55.257
2118.75,55.341
2119.21,55.421
2120,55.503
2120.29,55.584
2120.9,55.665
2121.7,55.746
2122.12,55.827
2122.12,55.909
2122.69,55.992
2123.15,56.074
2123.49,56.155
2124.39,56.236
2125.09,56.316
2125.09,56.397
2125.77,56.479
2126.31,56.56
2127.04,56.641
2127.59,56.725
2127.81,56.806
2127.81,56.887
2128.44,56.968
2128.87,57.05
2129.36,57.131
2130.45,57.211
2131.16,57.292
2131.27,57.376
2131.27,57.457
2132.02,57.538
2132.43,57.62
2132.76,57.701
2133.03,57.782
2133.77,57.863
2133.77,57.944
2134.63,58.028
2135.08,58.108
2135.47,58.189
2136.12,58.271
2137,58.352
2137,58.433
2137.43,58.514
2137.78,58.596
2138.5,58.679
2139.22,58.76
2139.87,58.842
2139.87,58.923
2140.24,59.003
2141.01,59.084
2141.77,59.166
2142.01,59.247
2142.66,59.33
2143.23,59.412
2143.23,59.493
2143.85,59.574
2144.75,59.655
2145.26,59.737
2145.98,59.817
2146.51,59.898
2146.51,59.979
2146.88,60.063
2147.6,60.144
2148.19,60.225
2148.61,60.307
2149.14,60.388
2149.14,60.469
2149.51,60.55
2150.34,60.631
2150.64,60.715
2151.54,60.795
2151.88,60.877
2151.88,60.958
2152.52,61.039
2153.15,61.12
2153.61,61.202
2154.11,61.283
2154.82,61.366
2155.36,61.448
2155.36,61.529
2155.83,61.609
2156.36,61.69
2156.94,61.771
2157.29,61.853
2157.87,61.934
2157.87,62.018
2158.32,62.099
2158.91,62.18
2159.54,62.261
2159.86,62.342
2160.74,62.424
2160.74,62.504
2161.3,62.585
2161.98,62.669
2162.45,62.75
2162.85,62.831
2163.46,62.912
2163.46,62.993
2164.09,63.075
2164.77,63.156
2165.44,63.237
2165.87,63.318
2166.48,63.401
2167.06,63.482
2167.06,63.563
2167.74,63.645
2168.09,63.726
2168.61,63.807
2168.79,63.888
2169.45,63.969
2169.87,64.061
2169.87,64.142
2170.39,64.223
2170.41,64.304
2171.06,64.385
2171.75,64.466
2172.32,64.547
2172.32,64.628
2172.88,64.712
2173.56,64.793
2174.03,64.874
2174.25,64.955
2174.89,65.037
2174.89,65.118
2175.43,65.199
2175.81,65.28
2176.23,65.363
2177.01,65.444
2177.18,65.525
