Altitude [m],Time [s],,,,
2043.41,20.195,,,,
2043.43,20.299,,,,
2043.75,20.404,,,,
2043.54,20.508,,,,
2043.4,20.614,,,,
2043.8,20.718,,,,
2043.33,20.823,,,,
2043.53,20.941,,,,
2043.5,21.045,,,,
2043.58,21.148,,,,
2043.66,21.251,,,,
2043.57,21.354,,,,
2043.59,21.457,,,,
2043.49,21.56,,,,
2043.4,21.704,,,,
2043.54,21.786,,,,
2043.52,21.867,,,,
2043.49,21.949,,,,
2043.7,22.03,,,,
2043.45,22.111,,,,
2043.45,22.193,,,,
2043.45,22.281,,,,
2043.35,22.365,,,,
2043.58,22.447,,,,
2043.49,22.528,,,,
2043.7,22.608,,,,
2043.42,22.689,,,,
2043.42,22.771,,,,
2043.49,22.852,,,,
2043.56,22.934,,,,
2043.45,23.017,,,,
2043.66,23.099,,,,
2043.38,23.18,,,,
2043.38,23.261,,,,
2043.44,23.343,,,,
2043.53,23.424,,,,
2043.5,23.513,,,,
2043.73,23.593,,,,
2043.6,23.677,,,,
2043.6,23.758,,,,
2043.56,23.839,,,,
2043.64,23.921,,,,
2043.74,24.002,,,,
2043.78,24.083,,,,
2043.75,24.165,,,,
2043.75,24.246,,,,
2043.76,24.33,,,,
2043.63,24.411,,,,
2043.75,24.492,,,,
2043.77,24.573,,,,
2044.01,24.654,,,,
2043.41,24.742,,,,
2043.41,24.824,,,,
2043.66,24.905,,,,
2043.62,24.989,,,,
2043.56,25.07,,,,
2043.6,25.152,,,,
2043.63,25.233,,,,
2043.63,25.314,,,,
2043.84,25.395,,,,
2043.64,25.477,,,,
2043.76,25.558,,,,
2043.56,25.641,,,,
2043.62,25.722,,,,
2043.62,25.804,,,,
2043.69,25.885,,,,
2043.57,25.973,,,,
2043.71,26.055,,,,
2043.64,26.136,,,,
2043.64,26.217,,,,
2043.64,26.301,,,,
2043.75,26.382,,,,
2043.58,26.464,,,,
2043.51,26.545,,,,
2043.98,26.626,,,,
2043.67,26.707,,,,
2043.67,26.788,,,,
2043.87,26.869,,,,
2043.66,26.948,,,,
2043.9,27.03,,,,
2043.7,27.111,,,,
2043.62,27.199,,,,
2043.51,27.281,,,,
2043.51,27.362,,,,
2043.62,27.443,,,,
2043.79,27.527,,,,
2043.72,27.608,,,,
2043.71,27.689,,,,
2043.62,27.77,,,,
2043.62,27.851,,,,
2043.57,27.933,,,,
2043.41,28.014,,,,
2043.71,28.095,,,,
2043.33,28.179,,,,
2043.47,28.26,,,,
2043.47,28.342,,,,
2043.6,28.43,,,,
2043.55,28.512,,,,
2043.46,28.593,,,,
2043.48,28.674,,,,
2043.36,28.755,,,,
2043.36,28.838,,,,
2043.57,28.92,,,,
2043.5,29.001,,,,
2043.48,29.082,,,,
2043.35,29.164,,,,
2043.37,29.245,,,,
2043.37,29.326,,,,
2043.57,29.408,,,,
2043.46,29.491,,,,
2043.26,29.573,,,,
2043.53,29.662,,,,
2043.37,29.744,,,,
2043.35,29.825,,,,
2043.35,29.905,,,,
2043.39,29.987,,,,
2043.66,30.068,,,,
2043.5,30.152,,,,
2043.42,30.233,,,,
2043.43,30.314,,,,
2043.43,30.396,,,,
2043.54,30.477,,,,
2043.74,30.558,,,,
2043.41,30.64,,,,
2043.56,30.721,,,,
2043.36,30.804,,,,
2043.22,30.892,,,,
2043.22,30.973,,,,
2043.17,31.054,,,,
2042.96,31.135,,,,
2042.88,31.217,,,,
2042.72,31.298,,,,
2042.72,31.379,,,,
2042.24,31.463,,,,
2041.9,31.544,,,,
2042.07,31.626,,,,
2041.56,31.707,,,,
2041.42,31.788,,,,
2041.17,31.869,,,,
2041.17,31.95,,,,
2041.15,32.031,,,,
2040.88,32.122,,,,
2040.32,32.203,,,,
2040.19,32.285,,,,
2040.06,32.366,,,,
2040.06,32.447,,,,
2040,32.529,,,,
2039.95,32.61,,,,
2039.45,32.691,,,,
2040,32.775,,,,
2039.22,32.856,,,,
2039.22,32.937,,,,
2039.32,33.018,,,,
2038.88,33.099,,,,
2038.53,33.18,,,,
2038.45,33.262,,,,
2038.22,33.353,,,,
2038.55,33.434,,,,
2038.55,33.515,,,,
2039.08,33.597,,,,
2039.31,33.678,,,,
2040.34,33.759,,,,
2040.28,33.84,,,,
2040.83,33.922,,,,
2040.83,34.002,,,,
2041.37,34.081,,,,
2042.31,34.162,,,,
2042.02,34.243,,,,
2042.21,34.325,,,,
2042.21,34.406,,,,
2042.66,34.487,,,,
2043.05,34.568,,,,
2043.08,34.657,,,,
2043.38,34.741,,,,
2043.59,34.822,,,,
2043.87,34.903,,,,
2043.87,34.983,,,,
2043.83,35.065,,,,
2043.91,35.146,,,,
2044.18,35.227,,,,
2044.15,35.308,,,,
2044.36,35.392,,,,
2044.36,35.474,,,,
2044.42,35.555,,,,
2044.36,35.636,,,,
2044.51,35.717,,,,
2044.57,35.799,,,,
2044.45,35.887,,,,
2044.45,35.968,,,,
2044.54,36.051,,,,
2044.73,36.132,,,,
2044.67,36.213,,,,
2045.06,36.295,,,,
2044.98,36.376,,,,
2044.76,36.457,,,,
2044.92,36.538,,,,
2044.96,36.62,,,,
2045.18,36.703,,,,
2045.29,36.785,,,,
2045.45,36.866,,,,
2045.43,36.946,,,,
2045.43,37.027,,,,
2045.35,37.116,,,,
2045.62,37.197,,,,
2045.86,37.279,,,,
2045.62,37.362,,,,
2045.67,37.444,,,,
2045.67,37.525,,,,
2046.01,37.606,,,,
2046.05,37.688,,,,
2046.3,37.769,,,,
2046.29,37.85,,,,
2046.18,37.932,,,,
2046.18,38.014,,,,
2046.08,38.096,,,,
2046.26,38.177,,,,
2046.46,38.258,,,,
2046.5,38.348,,,,
2046.53,38.429,,,,
2046.56,38.51,,,,
2046.56,38.591,,,,
2047.1,38.675,,,,
2047.19,38.756,,,,
2047.11,38.838,,,,
2047.26,38.919,,,,
2047.5,39,,,,
2047.5,39.081,,,,
2047.64,39.162,,,,
2047.5,39.243,,,,
2047.95,39.327,,,,
2047.93,39.408,,,,
2048.09,39.489,,,,
2048.09,39.578,,,,
2048.21,39.659,,,,
2048.47,39.74,,,,
2048.57,39.821,,,,
2048.51,39.902,,,,
2048.74,39.986,,,,
2048.74,40.067,,,,
2048.96,40.148,,,,
2048.7,40.229,,,,
2048.89,40.31,,,,
2049.09,40.391,,,,
2049.05,40.473,,,,
2049.05,40.554,,,,
2049.38,40.638,,,,
2049.36,40.719,,,,
2049.64,40.807,,,,
2049.68,40.889,,,,
2049.94,40.97,,,,
2050.15,41.051,,,,
2050.15,41.132,,,,
2050.12,41.213,,,,
2050.28,41.296,,,,
2050.5,41.378,,,,
2050.58,41.459,,,,
2050.66,41.54,,,,
2050.66,41.621,,,,
2050.84,41.703,,,,
2050.97,41.784,,,,
2051.1,41.865,,,,
2051.23,41.949,,,,
2051.6,42.037,,,,
2051.67,42.118,,,,
2051.67,42.2,,,,
2051.9,42.28,,,,
2052.03,42.361,,,,
2051.96,42.442,,,,
2052.56,42.523,,,,
2052.31,42.604,,,,
2052.31,42.696,,,,
2052.43,42.777,,,,
2052.8,42.858,,,,
2052.89,42.94,,,,
2053.08,43.021,,,,
2052.93,43.102,,,,
2052.93,43.184,,,,
2053.33,43.272,,,,
2053.73,43.356,,,,
2053.61,43.437,,,,
2054.05,43.517,,,,
2053.95,43.598,,,,
2054.01,43.68,,,,
2054.01,43.761,,,,
2054.34,43.842,,,,
2054.37,43.924,,,,
2054.62,44.007,,,,
2054.6,44.089,,,,
2054.76,44.17,,,,
2054.76,44.251,,,,
2054.78,44.332,,,,
2055.11,44.413,,,,
2055.36,44.502,,,,
2055.41,44.582,,,,
2055.91,44.666,,,,
2055.91,44.747,,,,
2055.48,44.829,,,,
2055.76,44.91,,,,
2055.99,44.991,,,,
2056.25,45.073,,,,
2056.54,45.154,,,,
2056.54,45.235,,,,
2056.38,45.319,,,,
2056.67,45.4,,,,
2056.9,45.48,,,,
2056.84,45.562,,,,
2057.03,45.643,,,,
2057.21,45.731,,,,
2057.21,45.813,,,,
2057.4,45.894,,,,
2057.44,45.978,,,,
2057.67,46.059,,,,
2057.89,46.14,,,,
2058.21,46.222,,,,
2058.21,46.303,,,,
2058.32,46.384,,,,
2058.6,46.466,,,,
2058.82,46.546,,,,
2059.15,46.63,,,,
2059.3,46.711,,,,
2059.3,46.792,,,,
2059.59,46.874,,,,
2059.53,46.962,,,,
2059.69,47.043,,,,
2060.09,47.125,,,,
2060.29,47.206,,,,
2060.61,47.287,,,,
2060.61,47.371,,,,
2060.74,47.452,,,,
2060.88,47.534,,,,
2061.07,47.614,,,,
2061.34,47.695,,,,
2061.55,47.776,,,,
2061.55,47.858,,,,
2061.56,47.939,,,,
2061.85,48.023,,,,
2062.07,48.104,,,,
2062.27,48.193,,,,
2062.66,48.274,,,,
2062.66,48.355,,,,
2062.5,48.437,,,,
2062.76,48.518,,,,
2062.84,48.599,,,,
2063.07,48.683,,,,
2063.37,48.763,,,,
2063.52,48.845,,,,
2063.55,48.926,,,,
2063.63,49.007,,,,
2064,49.089,,,,
2064.2,49.17,,,,
2064.69,49.251,,,,
2064.55,49.335,,,,
2064.55,49.423,,,,
2064.86,49.505,,,,
2064.93,49.586,,,,
2065.24,49.667,,,,
2065.45,49.748,,,,
2065.47,49.829,,,,
2065.47,49.91,,,,
2065.98,49.994,,,,
2065.94,50.075,,,,
2066.2,50.156,,,,
2066.45,50.238,,,,
2066.53,50.319,,,,
2066.53,50.4,,,,
2066.73,50.482,,,,
2066.92,50.563,,,,
2067.16,50.654,,,,
2067.59,50.735,,,,
2067.76,50.816,,,,
2068.28,50.897,,,,
2068.28,50.978,,,,
2068.23,51.059,,,,
2068.49,51.141,,,,
2068.27,51.222,,,,
2068.72,51.306,,,,
2068.39,51.387,,,,
2068.39,51.468,,,,
2068.92,51.549,,,,
2069.29,51.631,,,,
2069.27,51.712,,,,
2069.54,51.792,,,,
2069.64,51.896,,,,
2069.97,51.98,,,,
2070.2,52.061,,,,
2070.23,52.142,,,,
2070.48,52.224,,,,
2070.89,52.304,,,,
2070.84,52.385,,,,
2070.71,52.466,,,,
2071.27,52.548,,,,
2071.33,52.631,,,,
2071.52,52.713,,,,
2071.61,52.794,,,,
2071.62,52.875,,,,
2071.99,52.957,,,,
2071.98,53.038,,,,
2071.98,53.126,,,,
2072.12,53.208,,,,
2072.36,53.292,,,,
2072.58,53.372,,,,
2072.96,53.453,,,,
2073.28,53.534,,,,
2073.28,53.616,,,,
2073.25,53.697,,,,
2073.62,53.778,,,,
2073.88,53.86,,,,
2073.92,53.943,,,,
2074.36,54.025,,,,
2074.36,54.106,,,,
2074.45,54.187,,,,
2074.87,54.268,,,,
2075.02,54.356,,,,
2075.31,54.437,,,,
2075.73,54.519,,,,
2075.91,54.6,,,,
2075.91,54.684,,,,
2075.94,54.765,,,,
2076.64,54.846,,,,
2076.67,54.928,,,,
2077.07,55.009,,,,
2077.25,55.09,,,,
2077.25,55.171,,,,
2077.53,55.252,,,,
2078.11,55.336,,,,
2077.88,55.417,,,,
2078.74,55.498,,,,
2078.51,55.588,,,,
2078.85,55.669,,,,
2078.85,55.75,,,,
2078.95,55.831,,,,
2079.27,55.913,,,,
2079.66,55.997,,,,
2079.84,56.078,,,,
2080.18,56.159,,,,
2080.18,56.24,,,,
2080.22,56.322,,,,
2080.34,56.402,,,,
2080.69,56.483,,,,
2080.91,56.564,,,,
2081,56.648,,,,
2081,56.729,,,,
2081.23,56.818,,,,
2081.69,56.899,,,,
2081.84,56.98,,,,
2082.13,57.062,,,,
2082.65,57.143,,,,
2082.65,57.224,,,,
2082.75,57.308,,,,
2082.94,57.389,,,,
2083.11,57.469,,,,
2083.24,57.551,,,,
2083.41,57.632,,,,
2083.56,57.713,,,,
2083.56,57.795,,,,
2083.78,57.876,,,,
2083.83,57.96,,,,
2083.98,58.048,,,,
2084.07,58.129,,,,
2084.28,58.211,,,,
2084.28,58.292,,,,
2084.85,58.373,,,,
2085,58.454,,,,
2085.17,58.535,,,,
2085.27,58.618,,,,
2085.83,58.7,,,,
2085.83,58.781,,,,
2086.04,58.862,,,,
2086.1,58.943,,,,
2086.29,59.025,,,,
2086.67,59.106,,,,
2087.12,59.187,,,,
2087.08,59.278,,,,
2087.08,59.359,,,,
2087.39,59.441,,,,
2087.6,59.522,,,,
2088.26,59.602,,,,
