Altitude [m],Time [s],,,
2035.19,0.667,,,
2035.5,0.751,,,
2035.08,0.829,,,
2035.08,0.908,,,
2035.01,0.987,,,
2035.04,1.065,,,
2035.01,1.143,,,
2035.13,1.222,,,
2035.02,1.301,,,
2035.02,1.382,,,
2034.8,1.461,,,
2034.99,1.54,,,
2035.04,1.618,,,
2034.94,1.705,,,
2034.78,1.784,,,
2034.78,1.862,,,
2034.81,1.941,,,
2034.78,2.02,,,
2035.03,2.096,,,
2034.95,2.174,,,
2034.95,2.253,,,
2035.01,2.332,,,
2035.05,2.411,,,
2035.09,2.489,,,
2034.97,2.568,,,
2034.97,2.647,,,
2035.22,2.727,,,
2034.91,2.806,,,
2034.89,2.892,,,
2034.99,2.971,,,
2035.13,3.05,,,
2035.13,3.129,,,
2035.1,3.207,,,
2035.16,3.286,,,
2034.87,3.366,,,
2035.11,3.445,,,
2035.11,3.524,,,
2035.11,3.603,,,
2035.13,3.682,,,
2035.13,3.76,,,
2035.17,3.838,,,
2035.19,3.917,,,
2035.19,3.996,,,
2035.03,4.084,,,
2035.07,4.163,,,
2034.98,4.242,,,
2035.14,4.321,,,
2035.07,4.4,,,
2035.07,4.478,,,
2035.32,4.556,,,
2035.15,4.635,,,
2034.99,4.717,,,
2034.85,4.795,,,
2034.85,4.874,,,
2034.99,4.953,,,
2035.06,5.031,,,
2035.12,5.11,,,
2034.99,5.189,,,
2034.84,5.268,,,
2034.84,5.356,,,
2034.95,5.435,,,
2034.73,5.514,,,
2034.87,5.592,,,
2034.76,5.67,,,
2034.81,5.749,,,
2034.81,5.828,,,
2034.94,5.906,,,
2034.94,5.988,,,
2034.89,6.067,,,
2035.02,6.145,,,
2035.02,6.223,,,
2034.96,6.302,,,
2034.63,6.381,,,
2034.84,6.459,,,
2034.72,6.546,,,
2034.79,6.624,,,
2034.79,6.706,,,
2034.83,6.785,,,
2035.03,6.862,,,
2035.17,6.941,,,
2035.03,7.02,,,
2035.03,7.099,,,
2035.03,7.178,,,
2034.99,7.257,,,
2034.87,7.337,,,
2035.05,7.416,,,
2034.82,7.494,,,
2034.82,7.573,,,
2034.86,7.652,,,
2034.92,7.738,,,
2034.93,7.817,,,
2034.9,7.896,,,
2034.97,7.976,,,
2034.97,8.055,,,
2034.89,8.134,,,
2035.03,8.212,,,
2034.76,8.291,,,
2034.68,8.37,,,
2034.68,8.449,,,
2034.98,8.527,,,
2035.06,8.605,,,
2034.69,8.687,,,
2035.05,8.766,,,
2035.05,8.844,,,
2034.69,8.93,,,
2034.55,9.009,,,
2034.8,9.088,,,
2034.75,9.166,,,
2034.8,9.245,,,
2034.8,9.326,,,
2035.05,9.405,,,
2034.96,9.484,,,
2034.73,9.562,,,
2034.84,9.64,,,
2034.88,9.719,,,
2034.88,9.798,,,
2034.75,9.877,,,
2034.86,9.958,,,
2034.74,10.037,,,
2034.8,10.122,,,
2034.8,10.2,,,
2034.81,10.278,,,
2034.97,10.357,,,
2035.08,10.436,,,
2035.04,10.515,,,
2034.86,10.596,,,
2034.86,10.675,,,
2034.87,10.753,,,
2034.99,10.831,,,
2035.13,10.91,,,
2034.88,10.989,,,
2034.88,11.068,,,
2034.8,11.146,,,
2035.09,11.225,,,
2034.91,11.305,,,
2035.07,11.384,,,
2035.02,11.463,,,
2035.02,11.542,,,
2034.84,11.621,,,
2034.6,11.7,,,
2034.89,11.778,,,
2034.95,11.856,,,
2034.95,11.937,,,
2034.74,12.016,,,
2034.93,12.095,,,
2034.92,12.174,,,
2034.76,12.253,,,
2034.78,12.331,,,
2034.78,12.409,,,
2034.85,12.488,,,
2034.73,12.569,,,
2034.84,12.648,,,
2034.66,12.727,,,
2034.66,12.806,,,
2034.85,12.883,,,
2034.83,12.962,,,
2034.67,13.041,,,
2035.02,13.12,,,
2035.02,13.199,,,
2034.89,13.28,,,
2034.75,13.359,,,
2034.91,13.437,,,
2035.06,13.516,,,
2034.84,13.594,,,
2034.84,13.673,,,
2034.87,13.752,,,
2035.05,13.831,,,
2035.11,13.912,,,
2034.91,13.99,,,
2034.91,14.069,,,
2034.98,14.148,,,
2034.93,14.226,,,
2035.16,14.305,,,
2034.95,14.384,,,
2035.02,14.462,,,
2035.02,14.543,,,
2034.9,14.622,,,
2035.04,14.701,,,
2034.76,14.78,,,
2035.01,14.858,,,
2035.01,14.937,,,
2034.85,15.015,,,
2034.8,15.094,,,
2034.67,15.175,,,
2034.85,15.254,,,
2034.46,15.333,,,
2034.46,15.412,,,
2034.76,15.491,,,
2034.8,15.568,,,
2034.64,15.647,,,
2034.46,15.726,,,
2034.46,15.805,,,
2034.57,15.886,,,
2034.56,15.965,,,
2034.55,16.044,,,
2034.41,16.122,,,
2034.41,16.201,,,
2034.48,16.28,,,
2034.29,16.358,,,
2034.62,16.437,,,
2034.34,16.519,,,
2034.54,16.596,,,
2034.54,16.675,,,
2034.41,16.754,,,
2034.27,16.833,,,
2034.26,16.912,,,
2034.1,16.991,,,
2034.1,17.07,,,
2034.4,17.15,,,
2034.09,17.229,,,
2034.19,17.308,,,
2034.24,17.387,,,
2034.17,17.466,,,
2034.17,17.544,,,
2034.24,17.623,,,
2034.39,17.701,,,
2034.12,17.782,,,
2033.9,17.861,,,
2033.9,17.94,,,
2034.01,18.019,,,
2034.07,18.098,,,
2034.16,18.177,,,
2033.96,18.255,,,
2033.91,18.333,,,
2033.91,18.415,,,
2033.95,18.494,,,
2034.05,18.573,,,
2033.88,18.651,,,
2033.77,18.729,,,
2033.77,18.808,,,
2033.92,18.887,,,
2033.99,18.966,,,
2034.06,19.047,,,
2033.83,19.126,,,
2033.94,19.205,,,
2033.94,19.283,,,
2033.83,19.362,,,
2034.17,19.441,,,
2034.05,19.52,,,
2033.91,19.599,,,
2033.91,19.68,,,
2034.03,19.759,,,
2033.86,19.837,,,
2033.98,19.916,,,
2034,19.995,,,
2034,20.074,,,
2034.13,20.153,,,
2033.74,20.231,,,
2033.83,20.313,,,
2033.77,20.391,,,
2033.69,20.47,,,
2033.69,20.549,,,
2034.17,20.627,,,
2033.87,20.706,,,
2033.97,20.785,,,
2034.01,20.864,,,
2034.01,20.945,,,
2034.06,21.023,,,
2033.92,21.102,,,
2033.71,21.181,,,
2033.94,21.26,,,
2034.1,21.339,,,
2034.1,21.417,,,
2033.94,21.496,,,
2033.87,21.585,,,
2034.12,21.666,,,
2033.93,21.747,,,
2033.88,21.829,,,
2033.88,21.91,,,
2034,21.991,,,
2034.1,22.073,,,
2033.92,22.154,,,
2033.95,22.238,,,
2034.11,22.319,,,
2034.01,22.4,,,
2034.01,22.481,,,
2034.04,22.562,,,
2033.92,22.643,,,
2033.78,22.725,,,
2033.76,22.806,,,
2034.13,22.89,,,
2034.13,22.971,,,
2034.01,23.052,,,
2034.11,23.133,,,
2033.92,23.215,,,
2034.31,23.296,,,
2033.97,23.376,,,
2033.97,23.458,,,
2033.82,23.541,,,
2033.89,23.623,,,
2033.84,23.704,,,
2034.14,23.785,,,
2033.95,23.867,,,
2034.02,23.948,,,
2034.02,24.029,,,
2033.95,24.11,,,
2034.08,24.194,,,
2033.95,24.274,,,
2034.11,24.356,,,
2034.04,24.437,,,
2034.04,24.518,,,
2033.91,24.6,,,
2033.97,24.681,,,
2033.91,24.762,,,
2034.09,24.846,,,
2033.97,24.927,,,
2033.97,25.008,,,
2034.15,25.09,,,
2034.28,25.17,,,
2034.06,25.251,,,
2034.03,25.333,,,
2033.82,25.414,,,
2033.79,25.498,,,
2033.79,25.579,,,
2033.96,25.66,,,
2034,25.741,,,
2033.88,25.823,,,
2033.72,25.904,,,
2033.93,25.985,,,
2033.93,26.066,,,
2033.83,26.149,,,
2033.86,26.231,,,
2033.77,26.312,,,
2033.72,26.393,,,
2033.85,26.475,,,
2033.85,26.556,,,
2033.9,26.637,,,
2033.74,26.718,,,
2033.89,26.802,,,
2033.81,26.883,,,
2033.83,26.964,,,
2033.65,27.045,,,
2033.65,27.126,,,
2033.71,27.208,,,
2033.95,27.289,,,
2033.71,27.37,,,
2034,27.454,,,
2034.14,27.535,,,
2034.14,27.616,,,
2033.99,27.698,,,
2033.47,27.779,,,
2033.63,27.859,,,
2033.56,27.941,,,
2033.68,28.022,,,
2033.68,28.105,,,
2033.75,28.187,,,
2034.06,28.268,,,
2033.83,28.349,,,
2033.72,28.43,,,
2033.76,28.512,,,
2033.92,28.593,,,
2033.89,28.674,,,
2033.81,28.754,,,
2033.86,28.838,,,
2033.57,28.919,,,
2033.85,29.001,,,
2033.54,29.082,,,
2033.54,29.163,,,
2033.73,29.244,,,
2033.61,29.326,,,
2033.67,29.407,,,
2033.52,29.491,,,
2033.65,29.572,,,
2033.65,29.652,,,
2033.9,29.733,,,
2033.44,29.815,,,
2033.57,29.896,,,
2033.81,29.977,,,
2033.85,30.058,,,
2033.69,30.142,,,
2033.69,30.223,,,
2033.51,30.305,,,
2033.6,30.386,,,
2033.67,30.467,,,
2033.67,30.547,,,
2033.71,30.629,,,
2033.71,30.71,,,
2033.97,30.794,,,
2033.8,30.875,,,
2033.78,30.956,,,
2033.89,31.037,,,
2033.79,31.119,,,
2033.79,31.2,,,
2033.82,31.281,,,
2033.56,31.362,,,
2033.83,31.446,,,
2033.94,31.526,,,
2033.72,31.608,,,
2033.72,31.689,,,
2033.94,31.77,,,
2033.89,31.851,,,
2034.01,31.933,,,
2034.09,32.014,,,
2034.23,32.095,,,
2034.16,32.179,,,
2034.16,32.26,,,
2034.2,32.34,,,
2034,32.421,,,
2034.11,32.503,,,
2034.08,32.584,,,
2034.17,32.665,,,
2034.17,32.746,,,
2034.11,32.83,,,
2034.11,32.911,,,
2033.8,32.992,,,
2034.08,33.074,,,
2034.05,33.155,,,
2034.05,33.235,,,
2033.89,33.317,,,
2034.1,33.398,,,
2034.09,33.482,,,
2034.21,33.563,,,
2033.91,33.644,,,
2034.11,33.725,,,
2034.11,33.807,,,
2033.82,33.888,,,
2034.07,33.969,,,
2033.93,34.05,,,
2033.83,34.134,,,
2033.86,34.214,,,
2033.86,34.295,,,
2033.94,34.377,,,
2034.09,34.458,,,
2033.78,34.539,,,
2033.85,34.62,,,
2033.76,34.702,,,
2033.76,34.785,,,
2033.55,34.867,,,
2033.76,34.948,,,
2033.66,35.028,,,
2034.09,35.109,,,
2034.06,35.191,,,
2034.06,35.272,,,
2034.2,35.353,,,
2033.98,35.437,,,
2033.98,35.518,,,
2034.17,35.599,,,
2033.65,35.681,,,
2033.88,35.762,,,
2033.88,35.843,,,
2033.96,35.923,,,
2034.13,36.005,,,
2034.02,36.088,,,
2034.11,36.17,,,
2033.94,36.251,,,
2033.94,36.332,,,
2033.86,36.413,,,
2033.94,36.495,,,
2033.91,36.576,,,
2034.08,36.657,,,
2034.15,36.741,,,
2034.15,36.822,,,
2033.91,36.902,,,
2034.03,36.984,,,
2034.09,37.065,,,
2033.83,37.146,,,
2033.85,37.227,,,
2033.8,37.309,,,
2033.8,37.392,,,
2033.68,37.474,,,
2033.7,37.555,,,
2033.75,37.636,,,
2033.7,37.716,,,
2033.65,37.798,,,
2033.65,37.879,,,
2033.79,37.96,,,
2033.76,38.044,,,
2033.95,38.125,,,
2033.92,38.206,,,
2033.94,38.288,,,
2033.94,38.369,,,
2033.76,38.45,,,
2033.8,38.531,,,
2033.96,38.612,,,
2033.87,38.695,,,
2033.75,38.777,,,
2033.99,38.858,,,
2033.99,38.939,,,
2033.94,39.02,,,
2033.85,39.102,,,
2034.14,39.183,,,
2033.89,39.264,,,
2033.91,39.348,,,
2033.91,39.429,,,
2033.96,39.51,,,
2033.68,39.591,,,
2033.98,39.672,,,
2033.95,39.753,,,
2033.93,39.834,,,
2033.93,39.916,,,
2033.87,39.999,,,
2033.73,40.081,,,
2033.66,40.162,,,
2033.46,40.243,,,
2033.69,40.324,,,
2033.59,40.406,,,
2033.59,40.486,,,
2033.99,40.567,,,
2033.78,40.651,,,
2033.78,40.732,,,
2033.83,40.813,,,
2033.62,40.895,,,
2033.62,40.976,,,
2033.55,41.057,,,
2033.5,41.138,,,
2033.36,41.22,,,
2033.53,41.303,,,
2033.56,41.384,,,
2033.56,41.465,,,
2033.69,41.546,,,
2033.53,41.627,,,
2033.58,41.709,,,
2033.24,41.79,,,
2033.63,41.871,,,
2033.49,41.955,,,
2033.49,42.036,,,
2033.53,42.117,,,
2033.73,42.199,,,
2033.6,42.279,,,
2033.37,42.36,,,
2033.54,42.441,,,
2033.54,42.523,,,
2033.28,42.614,,,
2033.67,42.695,,,
2033.48,42.776,,,
2033.34,42.858,,,
2033.35,42.939,,,
2033.72,43.02,,,
2033.72,43.102,,,
2033.65,43.183,,,
2033.51,43.267,,,
2033.71,43.347,,,
2033.62,43.428,,,
2033.47,43.51,,,
2033.47,43.591,,,
2033.44,43.672,,,
2033.01,43.754,,,
2033.05,43.835,,,
2032.87,43.919,,,
2032.83,44,,,
2032.83,44.081,,,
2032.67,44.162,,,
2032.66,44.243,,,
2032.29,44.324,,,
2032.08,44.405,,,
2032.16,44.486,,,
2032,44.57,,,
2032,44.651,,,
2032.08,44.732,,,
2031.72,44.814,,,
2031.6,44.895,,,
2031.72,44.976,,,
2031.38,45.057,,,
2031.38,45.137,,,
2031.14,45.221,,,
2030.94,45.302,,,
2030.87,45.384,,,
2030.61,45.465,,,
2030.5,45.546,,,
2030.5,45.627,,,
2030.37,45.709,,,
2030.21,45.79,,,
2030,45.871,,,
2029.4,45.949,,,
2029.78,46.03,,,
2029.78,46.111,,,
2029.58,46.193,,,
2029.18,46.274,,,
2029.3,46.355,,,
2029.23,46.436,,,
2029.36,46.518,,,
2029.82,46.601,,,
2029.82,46.683,,,
2029.6,46.764,,,
2030.23,46.844,,,
2030.26,46.925,,,
2030.99,47.007,,,
2030.83,47.088,,,
2030.83,47.169,,,
2031.87,47.253,,,
2032.32,47.334,,,
2032.42,47.415,,,
2033.1,47.497,,,
2033.34,47.578,,,
2033.34,47.659,,,
2033.64,47.739,,,
2033.46,47.821,,,
2034.12,47.904,,,
2034.24,47.986,,,
2034.43,48.067,,,
2034.43,48.148,,,
2034.18,48.23,,,
2034.55,48.311,,,
2034.25,48.392,,,
2034.13,48.473,,,
2034.59,48.557,,,
2034.37,48.637,,,
2034.37,48.718,,,
2034.37,48.8,,,
